payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,id,a_type,a_db,a_signals,c_type,c_db,c_signals,payload_inner
SELECT * FROM ( SELECT meal FROM sat ),benign,generic,1.0,Normal SELECT with subquery,KEEP,,benign,generic,8200,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM ( SELECT meal FROM sat )
SELECT TOP 3 * FROM slip,benign,generic,1.0,Normal SELECT TOP from MSSQL,KEEP,,benign,generic,8201,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 3 * FROM slip
SELECT * FROM purpose 3,benign,generic,1.0,Incomplete SELECT statement,KEEP,,benign,generic,8202,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM purpose 3
SELECT * FROM rubbed FETCH FIRST 3 ROWS ONLY,benign,generic,1.0,Normal SELECT with FETCH FIRST,KEEP,,benign,generic,8203,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM rubbed FETCH FIRST 3 ROWS ONLY
SELECT TOP 50 PERCENT * FROM weigh,benign,generic,1.0,Normal SELECT TOP PERCENT from MSSQL,KEEP,,benign,generic,8204,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 50 PERCENT * FROM weigh
SELECT * FROM species FETCH FIRST 50 PERCENT ROWS ONLY,benign,generic,1.0,Normal SELECT with FETCH FIRST,KEEP,,benign,generic,8205,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM species FETCH FIRST 50 PERCENT ROWS ONLY
SELECT TOP 3 * FROM pig WHERE slow = 'cry',benign,generic,1.0,Normal SELECT TOP with WHERE,KEEP,,benign,generic,8206,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 3 * FROM pig WHERE slow = 'cry'
SELECT * FROM sense WHERE lay = 'independent' LIMIT 3,benign,generic,1.0,Normal SELECT with LIMIT and WHERE,KEEP,,benign,generic,8207,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM sense WHERE lay = 'independent' LIMIT 3
SELECT * FROM honor WHERE moment = 'wave' FETCH FIRST 3 ROWS ONLY,benign,generic,1.0,Normal SELECT with FETCH FIRST and WHERE,KEEP,,benign,generic,8208,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM honor WHERE moment = 'wave' FETCH FIRST 3 ROWS ONLY
SELECT MIN ( die ) AS nor FROM feel,benign,generic,1.0,Normal SELECT with MIN aggregate,KEEP,,benign,generic,8209,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT MIN ( die ) AS nor FROM feel
SELECT MIN ( purple ) AS collect FROM luck,benign,generic,1.0,Normal SELECT with MIN aggregate,KEEP,,benign,generic,8210,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT MIN ( purple ) AS collect FROM luck
SELECT * FROM ( SELECT weak FROM breakfast ),benign,generic,1.0,Normal SELECT with subquery,KEEP,,benign,generic,8211,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM ( SELECT weak FROM breakfast )
SELECT TOP 3 * FROM suppose SELECT * FROM stairs 3SELECT * FROM sharp,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH,KEEP,,benign,generic,8212,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 3 * FROM suppose SELECT * FROM stairs 3SELECT * FROM sharp
SELECT * FROM course 3 SELECT * FROM press,benign,generic,1.0,Malformed SELECT with multiple SELECT statements,KEEP,,benign,generic,8213,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM course 3 SELECT * FROM press
SELECT * FROM dust FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM wherever,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH,KEEP,,benign,generic,8214,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM dust FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM wherever
SELECT TOP 50 PERCENT * FROM cold SELECT * FROM particular FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM express,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH,KEEP,,benign,generic,8215,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 50 PERCENT * FROM cold SELECT * FROM particular FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM express
SELECT * FROM enter FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM situation,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH,KEEP,,benign,generic,8216,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM enter FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM situation
SELECT TOP 3 * FROM simple WHERE especially = 'frame' SELECT * FROM kind,benign,generic,1.0,Malformed SELECT with multiple SELECT statements,KEEP,,benign,generic,8217,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 3 * FROM simple WHERE especially = 'frame' SELECT * FROM kind
SELECT * FROM apple WHERE test = 'eaten' LIMIT 3,benign,generic,1.0,Normal SELECT with LIMIT and WHERE,KEEP,,benign,generic,8218,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM apple WHERE test = 'eaten' LIMIT 3
SELECT * FROM studied WHERE discuss = 'free' FETCH FIRST 3 ROWS ONLY,benign,generic,1.0,Normal SELECT with FETCH FIRST and WHERE,KEEP,,benign,generic,8219,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM studied WHERE discuss = 'free' FETCH FIRST 3 ROWS ONLY
SELECT AVG ( build ) FROM gradually,benign,generic,1.0,Normal SELECT with AVG aggregate,KEEP,,benign,generic,8220,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( build ) FROM gradually
SELECT * FROM garden WHERE bear NOT LIKE '[hill]%',benign,generic,1.0,Normal SELECT with NOT LIKE pattern,KEEP,,benign,generic,8221,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM garden WHERE bear NOT LIKE '[hill]%'
SELECT AVG ( for ) FROM verb SELECT SUM ( drink ),benign,generic,1.0,Normal SELECT with AVG and SUM aggregate,KEEP,,benign,generic,8222,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( for ) FROM verb SELECT SUM ( drink )
SELECT AVG ( basis ) FROM broke SELECT SUM ( rule ),benign,generic,1.0,Normal SELECT with AVG and SUM aggregate,KEEP,,benign,generic,8223,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( basis ) FROM broke SELECT SUM ( rule )
SELECT AVG ( molecular ) FROM week SELECT SUM ( everywhere ),benign,generic,1.0,Normal SELECT with AVG and SUM aggregate,KEEP,,benign,generic,8224,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( molecular ) FROM week SELECT SUM ( everywhere )
SELECT COUNT ( machinery ) FROM unknown,benign,generic,1.0,Normal SELECT with COUNT aggregate,KEEP,,benign,generic,8225,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT COUNT ( machinery ) FROM unknown
SELECT COUNT ( those ) FROM provide,benign,generic,1.0,Normal SELECT with COUNT aggregate,KEEP,,benign,generic,8226,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT COUNT ( those ) FROM provide
SELECT AVG ( feel ) FROM lion,benign,generic,1.0,Normal SELECT with AVG aggregate,KEEP,,benign,generic,8227,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( feel ) FROM lion
SELECT * FROM electric WHERE distant NOT LIKE 'plenty%',benign,generic,1.0,Normal SELECT with NOT LIKE pattern,KEEP,,benign,generic,8228,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM electric WHERE distant NOT LIKE 'plenty%'
SELECT * FROM difficult WHERE sick LIKE '%serve%',benign,generic,1.0,Normal SELECT with LIKE wildcard,KEEP,,benign,generic,8229,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM difficult WHERE sick LIKE '%serve%'
SELECT * FROM people WHERE gray NOT LIKE '[obtain]%',benign,generic,1.0,Normal SELECT with NOT LIKE pattern,KEEP,,benign,generic,8230,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM people WHERE gray NOT LIKE '[obtain]%'
"SELECT * FROM hospital WHERE girl IN ( 'however', 'most', 'milk' )",benign,generic,1.0,Normal SELECT with IN clause,KEEP,,benign,generic,8231,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT * FROM hospital WHERE girl IN ( 'however', 'most', 'milk' )"
"SELECT * FROM disappear WHERE until NOT IN ( 'factory', 'behavior', 'winter' )",benign,generic,1.0,Normal SELECT with NOT IN,KEEP,,benign,generic,8232,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT * FROM disappear WHERE until NOT IN ( 'factory', 'behavior', 'winter' )"
SELECT * FROM advice WHERE curve IN ( SELECT mice FROM though ),benign,generic,1.0,Normal SELECT with IN subquery,KEEP,,benign,generic,8233,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM advice WHERE curve IN ( SELECT mice FROM though )
SELECT * FROM rubbed WHERE two BETWEEN 10 AND 20,benign,generic,1.0,Normal SELECT with BETWEEN,KEEP,,benign,generic,8234,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM rubbed WHERE two BETWEEN 10 AND 20
SELECT * FROM also WHERE Price NOT BETWEEN 10 AND 20,benign,generic,1.0,Normal SELECT with NOT BETWEEN,KEEP,,benign,generic,8235,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM also WHERE Price NOT BETWEEN 10 AND 20
SELECT * FROM shall WHERE feel BETWEEN 'phrase' AND 'hope',benign,generic,1.0,Normal SELECT with BETWEEN string,KEEP,,benign,generic,8236,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM shall WHERE feel BETWEEN 'phrase' AND 'hope'
"SELECT * FROM should WHERE electricity BETWEEN ""greater"" AND ""impossible""",benign,generic,1.0,Normal SELECT with BETWEEN string,KEEP,,benign,generic,8237,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT * FROM should WHERE electricity BETWEEN ""greater"" AND ""impossible"""
SELECT * FROM composition WHERE copper NOT BETWEEN 'represent' AND 'rays',benign,generic,1.0,Normal SELECT with NOT BETWEEN,KEEP,,benign,generic,8238,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM composition WHERE copper NOT BETWEEN 'represent' AND 'rays'
SELECT * FROM goose WHERE mistake BETWEEN judge09/01/1996twelve AND within15/31/1996plain,benign,generic,1.0,Malformed date range in BETWEEN,KEEP,,benign,generic,8239,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM goose WHERE mistake BETWEEN judge09/01/1996twelve AND within15/31/1996plain
SELECT * FROM basic WHERE please BETWEEN '1996-07-01' AND '1996-07-31',benign,generic,1.0,Normal SELECT with BETWEEN date,KEEP,,benign,generic,8240,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM basic WHERE please BETWEEN '1996-07-01' AND '1996-07-31'
SELECT AVG ( journey ) FROM orange SELECT SUM ( farm ),benign,generic,1.0,Normal SELECT with AVG and SUM aggregate,KEEP,,benign,generic,8241,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( journey ) FROM orange SELECT SUM ( farm )
SELECT COUNT ( pine ) FROM cut,benign,generic,1.0,Normal SELECT with COUNT aggregate,KEEP,,benign,generic,8242,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT COUNT ( pine ) FROM cut
