payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,id,a_type,a_db,a_signals,c_type,c_db,c_signals,payload_inner
SELECT * FROM real ORDER BY parts,benign,generic,1.0,Normal SELECT with ORDER BY,KEEP,,benign,generic,5400,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM real ORDER BY parts
SELECT * FROM simply ORDER BY desk DESC,benign,generic,1.0,Normal SELECT with ORDER BY DESC,KEEP,,benign,generic,5401,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM simply ORDER BY desk DESC
"SELECT * FROM fruit ORDER BY action, fear",benign,generic,1.0,Normal SELECT with ORDER BY multiple columns,KEEP,,benign,generic,5402,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT * FROM fruit ORDER BY action, fear"
"SELECT * FROM sets ORDER BY torn ASC, cat DESC",benign,generic,1.0,Normal SELECT with ORDER BY ASC DESC,KEEP,,benign,generic,5403,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT * FROM sets ORDER BY torn ASC, cat DESC"
"INSERT INTO doll ( every, dull, strange, seven, charge, political ) VALUES ( 'addition', 'express'. wall', 'corner', 'taken', 'darkness', 'activity' )",benign,generic,1.0,Normal INSERT statement,KEEP,,benign,generic,5404,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"INSERT INTO doll ( every, dull, strange, seven, charge, political ) VALUES ( 'addition', 'express'. wall', 'corner', 'taken', 'darkness', 'activity' )"
"INSERT INTO were ( tightly, must, house ) VALUES ( 'weight', 'because', 'mad' )",benign,generic,1.0,Normal INSERT statement,KEEP,,benign,generic,5405,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"INSERT INTO were ( tightly, must, house ) VALUES ( 'weight', 'because', 'mad' )"
"SELECT wonder, invented, report FROM material WHERE stream IS NULL",benign,generic,1.0,Normal SELECT with IS NULL,KEEP,,benign,generic,5406,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT wonder, invented, report FROM material WHERE stream IS NULL"
"SELECT pretty, friend, successFROM wait WHERE independent IS NOT NULL",benign,generic,1.0,Normal SELECT with IS NOT NULL,KEEP,,benign,generic,5407,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT pretty, friend, successFROM wait WHERE independent IS NOT NULL"
"UPDATE women SET baseball = 'person', City = 'traffic' WHERE small = boat",benign,generic,1.0,Normal UPDATE statement,KEEP,,benign,generic,5408,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"UPDATE women SET baseball = 'person', City = 'traffic' WHERE small = boat"
UPDATE cave SET deal = 'needs'WHERE finger = 'sunlight',benign,generic,1.0,Normal UPDATE statement,KEEP,,benign,generic,5409,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,UPDATE cave SET deal = 'needs'WHERE finger = 'sunlight'
DELETE FROM frighten WHERE ordinary = 'fine',benign,generic,1.0,Normal DELETE statement,KEEP,,benign,generic,5410,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,DELETE FROM frighten WHERE ordinary = 'fine'
DELETE FROM ring,benign,generic,1.0,Normal DELETE statement,KEEP,,benign,generic,5411,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,DELETE FROM ring
SELECT quick ( s ) FROM distant,benign,generic,1.0,Normal SELECT with function,KEEP,,benign,generic,5412,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT quick ( s ) FROM distant
SELECT * FROM ( SELECT chosen FROM goose ),benign,generic,1.0,Normal SELECT with subquery,KEEP,,benign,generic,5413,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM ( SELECT chosen FROM goose )
SELECT TOP 3 * FROM chicken,benign,generic,1.0,Normal SELECT TOP from MSSQL,KEEP,,benign,generic,5414,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 3 * FROM chicken
SELECT * FROM husband 3,benign,generic,1.0,Incomplete SELECT statement,KEEP,,benign,generic,5415,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM husband 3
SELECT * FROM pond FETCH FIRST 3 ROWS ONLY,benign,generic,1.0,Normal SELECT with FETCH FIRST,KEEP,,benign,generic,5416,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM pond FETCH FIRST 3 ROWS ONLY
SELECT TOP 50 PERCENT * FROM shallow,benign,generic,1.0,Normal SELECT TOP PERCENT from MSSQL,KEEP,,benign,generic,5417,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 50 PERCENT * FROM shallow
SELECT * FROM stronger FETCH FIRST 50 PERCENT ROWS ONLY,benign,generic,1.0,Normal SELECT with FETCH FIRST,KEEP,,benign,generic,5418,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM stronger FETCH FIRST 50 PERCENT ROWS ONLY
SELECT TOP 3 * FROM its WHERE circus = 'pack',benign,generic,1.0,Normal SELECT TOP with WHERE,KEEP,,benign,generic,5419,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 3 * FROM its WHERE circus = 'pack'
SELECT * FROM proud WHERE price = 'luck' LIMIT 3,benign,generic,1.0,Normal SELECT with LIMIT and WHERE,KEEP,,benign,generic,5420,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM proud WHERE price = 'luck' LIMIT 3
SELECT * FROM win WHERE silver = 'dance' FETCH FIRST 3 ROWS ONLY,benign,generic,1.0,Normal SELECT with FETCH FIRST and WHERE,KEEP,,benign,generic,5421,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM win WHERE silver = 'dance' FETCH FIRST 3 ROWS ONLY
SELECT MIN ( flies ) AS discovery FROM related,benign,generic,1.0,Normal SELECT with MIN aggregate,KEEP,,benign,generic,5422,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT MIN ( flies ) AS discovery FROM related
SELECT MIN ( pull ) AS hearing FROM famous,benign,generic,1.0,Normal SELECT with MIN aggregate,KEEP,,benign,generic,5423,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT MIN ( pull ) AS hearing FROM famous
SELECT * FROM ( SELECT paid FROM cook ),benign,generic,1.0,Normal SELECT with subquery,KEEP,,benign,generic,5424,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM ( SELECT paid FROM cook )
SELECT TOP 3 * FROM off SELECT * FROM dried 3SELECT * FROM bear,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH,KEEP,,benign,generic,5425,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 3 * FROM off SELECT * FROM dried 3SELECT * FROM bear
SELECT * FROM serious 3 SELECT * FROM similar,benign,generic,1.0,Incomplete SELECT statement,KEEP,,benign,generic,5426,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM serious 3 SELECT * FROM similar
SELECT * FROM handsome FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM except,benign,generic,1.0,Malformed SELECT with multiple clauses,KEEP,,benign,generic,5427,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM handsome FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM except
SELECT TOP 50 PERCENT * FROM chamber SELECT * FROM terrible FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM blow,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH,KEEP,,benign,generic,5428,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 50 PERCENT * FROM chamber SELECT * FROM terrible FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM blow
SELECT * FROM protection FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM higher,benign,generic,1.0,Malformed SELECT with multiple clauses,KEEP,,benign,generic,5429,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM protection FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM higher
SELECT TOP 3 * FROM giant WHERE tomorrow = 'lunch' SELECT * FROM sudden,benign,generic,1.0,Malformed SELECT with multiple SELECT,KEEP,,benign,generic,5430,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT TOP 3 * FROM giant WHERE tomorrow = 'lunch' SELECT * FROM sudden
SELECT * FROM gentle WHERE lose = 'cut' LIMIT 3,benign,generic,1.0,Normal SELECT with LIMIT and WHERE,KEEP,,benign,generic,5431,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM gentle WHERE lose = 'cut' LIMIT 3
SELECT * FROM adult WHERE saved = 'ten' FETCH FIRST 3 ROWS ONLY,benign,generic,1.0,Normal SELECT with FETCH FIRST and WHERE,KEEP,,benign,generic,5432,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM adult WHERE saved = 'ten' FETCH FIRST 3 ROWS ONLY
SELECT AVG ( lying ) FROM be,benign,generic,1.0,Normal SELECT with AVG aggregate,KEEP,,benign,generic,5433,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( lying ) FROM be
SELECT * FROM its WHERE happen NOT LIKE '[truck]%',benign,generic,1.0,Normal SELECT with NOT LIKE pattern,KEEP,,benign,generic,5434,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM its WHERE happen NOT LIKE '[truck]%'
SELECT AVG ( volume ) FROM take SELECT SUM ( sometime ),benign,generic,1.0,Normal SELECT with AVG and SUM,KEEP,,benign,generic,5435,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( volume ) FROM take SELECT SUM ( sometime )
SELECT AVG ( environment ) FROM pole SELECT SUM ( list ),benign,generic,1.0,Normal SELECT with AVG and SUM,KEEP,,benign,generic,5436,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( environment ) FROM pole SELECT SUM ( list )
SELECT AVG ( immediately ) FROM basic SELECT SUM ( her ),benign,generic,1.0,Normal SELECT with AVG and SUM,KEEP,,benign,generic,5437,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( immediately ) FROM basic SELECT SUM ( her )
SELECT COUNT ( chamber ) FROM managed,benign,generic,1.0,Normal SELECT with COUNT aggregate,KEEP,,benign,generic,5438,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT COUNT ( chamber ) FROM managed
SELECT COUNT ( nearly ) FROM range,benign,generic,1.0,Normal SELECT with COUNT aggregate,KEEP,,benign,generic,5439,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT COUNT ( nearly ) FROM range
SELECT AVG ( stopped ) FROM lay,benign,generic,1.0,Normal SELECT with AVG aggregate,KEEP,,benign,generic,5440,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT AVG ( stopped ) FROM lay
SELECT * FROM below WHERE fill NOT LIKE 'situation%',benign,generic,1.0,Normal SELECT with NOT LIKE,KEEP,,benign,generic,5441,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM below WHERE fill NOT LIKE 'situation%'
SELECT * FROM they WHERE element LIKE '%luck%',benign,generic,1.0,Normal SELECT with LIKE wildcard,KEEP,,benign,generic,5442,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM they WHERE element LIKE '%luck%'
