payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,id,a_type,a_db,a_signals,c_type,c_db,c_signals,payload_inner
SELECT DISTINCT spoken FROM tribe,benign,generic,1.0,Normal SELECT DISTINCT,KEEP,,benign,generic,5200,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT DISTINCT spoken FROM tribe
SELECT COUNT ( DISTINCT park ) FROM someone,benign,generic,1.0,Normal SELECT with COUNT DISTINCT,KEEP,,benign,generic,5201,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT COUNT ( DISTINCT park ) FROM someone
SELECT Count ( * ) AS doctor,benign,generic,1.0,Normal SELECT with COUNT aggregate,KEEP,,benign,generic,5202,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT Count ( * ) AS doctor
FROM ( SELECT DISTINCT slipped FROM sink ),benign,generic,1.0,Incomplete SELECT with subquery,KEEP,,benign,generic,5203,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,FROM ( SELECT DISTINCT slipped FROM sink )
SELECT * FROM mill,benign,generic,1.0,Normal SELECT from table,KEEP,,benign,generic,5204,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM mill
SELECT * FROM whale WHERE job = 'loose',benign,generic,1.0,Normal SELECT with WHERE clause,KEEP,,benign,generic,5205,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM whale WHERE job = 'loose'
SELECT * FROM do WHERE moment = 'beneath',benign,generic,1.0,Normal SELECT with WHERE clause,KEEP,,benign,generic,5206,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM do WHERE moment = 'beneath'
SELECT * FROM mirror WHERE cost = fire,benign,generic,1.0,Normal SELECT with WHERE clause,KEEP,,benign,generic,5207,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM mirror WHERE cost = fire
SELECT * FROM toward WHERE valuable = 'health' AND City = 'knowledge',benign,generic,1.0,Normal SELECT with multiple WHERE conditions,KEEP,,benign,generic,5208,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM toward WHERE valuable = 'health' AND City = 'knowledge'
SELECT * FROM public WHERE hung = 'return' OR had = 'oldest',benign,generic,1.0,Normal SELECT with OR condition,KEEP,,benign,generic,5209,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT * FROM public WHERE hung = 'return' OR had = 'oldest'
