payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,id,a_type,a_db,a_signals,c_type,c_db,c_signals,payload_inner
"SELECT LOCATE ( ""3"", ""W3Schools.com"" ) AS MatchPosition;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33400,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT LOCATE ( ""3"", ""W3Schools.com"" ) AS MatchPosition;"
"SELECT LOCATE ( ""com"", ""W3Schools.com"", 3 ) AS MatchPosition;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33401,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT LOCATE ( ""com"", ""W3Schools.com"", 3 ) AS MatchPosition;"
"SELECT LOCATE ( ""a"", CustomerName ) FROM Customers;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33402,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT LOCATE ( ""a"", CustomerName ) FROM Customers;"
"SELECT LOWER ( ""SQL Tutorial is FUN!"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33403,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT LOWER ( ""SQL Tutorial is FUN!"" ) ;"
SELECT LOWER ( CustomerName ) AS LowercaseCustomerName FROM Customers;,benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33404,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,SELECT LOWER ( CustomerName ) AS LowercaseCustomerName FROM Customers;
"SELECT LPAD ( ""SQL Tutorial"", 20, ""ABC"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33405,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT LPAD ( ""SQL Tutorial"", 20, ""ABC"" ) ;"
"SELECT LPAD ( CustomerName, 30, ""ABC"" ) AS LeftPadCustomerName FROM Customers;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33406,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT LPAD ( CustomerName, 30, ""ABC"" ) AS LeftPadCustomerName FROM Customers;"
"SELECT LTRIM ( "" SQL Tutorial"" ) AS LeftTrimmedString;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33407,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT LTRIM ( "" SQL Tutorial"" ) AS LeftTrimmedString;"
"SELECT MID ( ""SQL Tutorial"", 5, 3 ) AS ExtractString;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33408,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT MID ( ""SQL Tutorial"", 5, 3 ) AS ExtractString;"
"SELECT MID ( CustomerName, 2, 5 ) AS ExtractString FROM Customers;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33409,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT MID ( CustomerName, 2, 5 ) AS ExtractString FROM Customers;"
"SELECT MID ( ""SQL Tutorial"", -5, 5 ) AS ExtractString;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33410,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT MID ( ""SQL Tutorial"", -5, 5 ) AS ExtractString;"
"SELECT POSITION ( ""3"" IN ""W3Schools.com"" ) AS MatchPosition;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33411,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT POSITION ( ""3"" IN ""W3Schools.com"" ) AS MatchPosition;"
"SELECT POSITION ( ""COM"" IN ""W3Schools.com"" ) AS MatchPosition;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33412,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT POSITION ( ""COM"" IN ""W3Schools.com"" ) AS MatchPosition;"
"SELECT POSITION ( ""a"" IN CustomerName ) FROM Customers;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33413,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT POSITION ( ""a"" IN CustomerName ) FROM Customers;"
"SELECT REPEAT ( ""SQL Tutorial"", 3 ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33414,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT REPEAT ( ""SQL Tutorial"", 3 ) ;"
"SELECT REPEAT ( CustomerName, 2 ) FROM Customers;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33415,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT REPEAT ( CustomerName, 2 ) FROM Customers;"
"SELECT REPEAT ( ""SQL Tutorial"", 0 ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33416,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT REPEAT ( ""SQL Tutorial"", 0 ) ;"
"SELECT REPLACE ( ""SQL Tutorial"", ""SQL"", ""HTML"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33417,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT REPLACE ( ""SQL Tutorial"", ""SQL"", ""HTML"" ) ;"
"SELECT REPLACE ( ""XYZ FGH XYZ"", ""X"", ""M"" ) ;",benign,mysql,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,mysql,33418,boolean_blind,generic,generic SQL keywords without specific signal,boolean_blind,generic,generic SQL structure without strong signal,"SELECT REPLACE ( ""XYZ FGH XYZ"", ""X"", ""M"" ) ;"
