sample_id,module_id,y_level,payload_raw,validation_payload_v4,semantic_family,static_valid_v4,static_quality_score_v4,slot_sanity_score_v4,module_contract_valid_score,malformed_syntax_penalty_v4,evidence_tier,hard_case_reason,intended_tier,parent_sample_id,parent_module_level,transform_recipe_id,roundtrip_valid,structure_preserved,semantic_preserved
Y1_R031_C01_S01,Y1_basic_boolean,Y1,'west5' LIKE 'we%','west5' LIKE 'we%',like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y1_R031_C01_S02,Y1_basic_boolean,Y1,'prime6' LIKE 'pr%','prime6' LIKE 'pr%',like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y1_R031_C01_S03,Y1_basic_boolean,Y1,'core7' LIKE 'co%','core7' LIKE 'co%',like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y1_R031_C01_S04,Y1_basic_boolean,Y1,'safe8' LIKE 'zz%','safe8' LIKE 'zz%',like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y1_R031_C01_S05,Y1_basic_boolean,Y1,'audit0' LIKE 'zz%','audit0' LIKE 'zz%',like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y1_R031_C01_S06,Y1_basic_boolean,Y1,'trace1' LIKE 'zz%','trace1' LIKE 'zz%',like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y1_R031_C02_S01,Y1_basic_boolean,Y1,('prime5' LIKE 'pr%'),('prime5' LIKE 'pr%'),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y1_R031_C02_S02,Y1_basic_boolean,Y1,('core6' LIKE 'co%'),('core6' LIKE 'co%'),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y1_R031_C02_S03,Y1_basic_boolean,Y1,('safe7' LIKE 'sa%'),('safe7' LIKE 'sa%'),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y1_R031_C02_S04,Y1_basic_boolean,Y1,('audit8' LIKE 'zz%'),('audit8' LIKE 'zz%'),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
Y1_R031_C02_S05,Y1_basic_boolean,Y1,('trace0' LIKE 'zz%'),('trace0' LIKE 'zz%'),like_ilike,0,0.85,1.0,0.8,0.0,T0_generated_candidate,slot_sanity_or_static_issue,LLM_review_or_future_special_module,,,NONE_BASE,1,0,1
