sample_id,module_id,y_level,payload_raw,validation_payload_v4,semantic_family,static_valid_v4,static_quality_score_v4,slot_sanity_score_v4,module_contract_valid_score,malformed_syntax_penalty_v4,evidence_tier,hard_case_reason,intended_tier,parent_sample_id,parent_module_level,transform_recipe_id,roundtrip_valid,structure_preserved,semantic_preserved
Y4_R001_C01_S01,Y4_obfuscated_boolean,Y4,32	 =	 32,32 = 32,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C01_S01,Y1_basic_boolean,T_Y4_TAB_SPACE,1,1,1
Y4_R001_C01_S02,Y4_obfuscated_boolean,Y4,45/**/=/**/45,45 = 45,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C01_S02,Y1_basic_boolean,T_Y4_COMMENT_WS,1,1,1
Y4_R001_C01_S03,Y4_obfuscated_boolean,Y4,((58	 =	 58)),((58 = 58)),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y2_R001_C01_S03,Y2_boolean_variation,T_Y4_EXTRA_PARENTHESES,1,1,1
Y4_R001_C01_S04,Y4_obfuscated_boolean,Y4,71/**/=/**/88,71 = 88,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C01_S04,Y1_basic_boolean,T_Y4_COMMENT_WS,1,1,1
Y4_R001_C01_S05,Y4_obfuscated_boolean,Y4,84	 =	 4,84 = 4,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C01_S05,Y1_basic_boolean,T_Y4_TAB_SPACE,1,1,1
Y4_R001_C01_S06,Y4_obfuscated_boolean,Y4,97/**/=/**/17,97 = 17,comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C01_S06,Y1_basic_boolean,T_Y4_COMMENT_WS,1,1,1
Y4_R001_C02_S01,Y4_obfuscated_boolean,Y4,(43/**/=/**/43),(43 = 43),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C02_S01,Y1_basic_boolean,T_Y4_COMMENT_WS,1,1,1
Y4_R001_C02_S02,Y4_obfuscated_boolean,Y4,(56	 =	 56),(56 = 56),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C02_S02,Y1_basic_boolean,T_Y4_TAB_SPACE,1,1,1
Y4_R001_C02_S03,Y4_obfuscated_boolean,Y4,(((69/**/=/**/69))),(((69 = 69))),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y2_R001_C02_S03,Y2_boolean_variation,T_Y4_EXTRA_PARENTHESES,1,1,1
Y4_R001_C02_S04,Y4_obfuscated_boolean,Y4,(82	 =	 2),(82 = 2),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C02_S04,Y1_basic_boolean,T_Y4_TAB_SPACE,1,1,1
Y4_R001_C02_S05,Y4_obfuscated_boolean,Y4,(95/**/=/**/15),(95 = 15),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C02_S05,Y1_basic_boolean,T_Y4_COMMENT_WS,1,1,1
Y4_R001_C02_S06,Y4_obfuscated_boolean,Y4,(11	 =	 28),(11 = 28),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C02_S06,Y1_basic_boolean,T_Y4_TAB_SPACE,1,1,1
Y4_R001_C03_S01,Y4_obfuscated_boolean,Y4,NoT	 (54	 =	 71),NoT (54 = 71),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C03_S01,Y1_basic_boolean,T_Y4_TAB_SPACE,1,1,0
Y4_R001_C03_S02,Y4_obfuscated_boolean,Y4,NoT/**/(67/**/=/**/84),NoT (67 = 84),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C03_S02,Y1_basic_boolean,T_Y4_COMMENT_WS,1,1,0
Y4_R001_C03_S03,Y4_obfuscated_boolean,Y4,((NoT	 (80	 =	 97))),((NoT (80 = 97))),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y2_R001_C03_S03,Y2_boolean_variation,T_Y4_EXTRA_PARENTHESES,1,1,0
Y4_R001_C03_S04,Y4_obfuscated_boolean,Y4,NoT/**/(93/**/=/**/93),NoT (93 = 93),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C03_S04,Y1_basic_boolean,T_Y4_COMMENT_WS,1,1,0
Y4_R001_C03_S05,Y4_obfuscated_boolean,Y4,NoT	 (9	 =	 9),NoT (9 = 9),comparison_numeric,1,1.0,1.0,1.0,0.0,T1_static_validated,representation_case,LLM_review_or_future_special_module,Y1_R001_C03_S05,Y1_basic_boolean,T_Y4_TAB_SPACE,1,1,0
