sample_id,arm,y_complexity,d_category,database,query_language,root_id,abstract_family_id,structure_cell_id,grammar_slots_id,sample_index,payload_raw,payload_decoded_or_canonical,query_binding_json,abstract_predicate_ast,predicate_type,representation_technique,compatibility_status,eligibility_for_detector_attack_training,generated_source_type,external_observed,behavior_validated,provenance_source_id,raw_sha256,semantic_lineage_id,split_group_key,notes
A_Y1_D01_R01_V01,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,1,score = 11,score = 11,,"[""eq"",""score"",11,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,d5ac96511c9a57cae0feb903851540eb02755ff9182fb9dab6a7c57c732c9e5c,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V02,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,2,score = 24,score = 24,,"[""eq"",""score"",24,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,f5d5b9adf45689db644336ff13e8891353f51f5020bc8b8b57a416d7e6bfe21c,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V03,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,3,score = 37,score = 37,,"[""eq"",""score"",37,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,a16d7cc583ad9a2ac73ac0772523163e7d7a3257e33b37146c5911c686f5831c,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V04,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,4,score = 50,score = 50,,"[""eq"",""score"",50,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,174de3c130d8c5b7d3446c85051e7547914e7c27695ddab7023f0e31a004d2db,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V05,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,5,score = 63,score = 63,,"[""eq"",""score"",63,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,af0669a27bb976cb4d8bb952f6d4326361a3fff47389b409378b51ebf8772d9c,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V06,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,6,score = 76,score = 76,,"[""eq"",""score"",76,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,7e9c5a20cafc8c14d273b19db0a7e273b98b32faf3256858a88ad9f27fb8d869,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V07,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,7,score = 89,score = 89,,"[""eq"",""score"",89,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,7e0c05d22a4e5d6545fd8c60e723fad11601035a2438c0075195b882e260d614,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V08,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,8,score = 102,score = 102,,"[""eq"",""score"",102,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,e1abe8ee888c82d14f8472c2599899461b80beb819947aeed49c964690364b9e,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V09,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,9,score = 115,score = 115,,"[""eq"",""score"",115,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,a5cf0a91dbc2cecaa78c2bb8deb78544d5a194ea58c5bde50285574162e71acf,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V10,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,10,score = 128,score = 128,,"[""eq"",""score"",128,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,922f9e6a542965120eff816a45d02fe8654fa82d858394560732f04463d6c654,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V11,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,11,score = 141,score = 141,,"[""eq"",""score"",141,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,be38d0b5230ce7f1b3ae7e4ef9d9f3d1d3c97c6bba3f2ef566a067f4f1e090fc,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V12,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,12,score = 154,score = 154,,"[""eq"",""score"",154,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,c3d21b694dfe34a34c3327e306e41a06233a0ad88fc77a852cb1705a03853373,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V13,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,13,score = 167,score = 167,,"[""eq"",""score"",167,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,541f50afa33ce45576ba1b904a475b323c7d2718bbcee385cba16b66143566e7,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V14,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,14,score = 180,score = 180,,"[""eq"",""score"",180,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,2f57078273481c4cd665b463ac55a2df4bd5dd31ffc5df41fa62a1e668f5228f,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V15,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,15,score = 193,score = 193,,"[""eq"",""score"",193,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,d7ad20131921c63a47b6b0547dba98c1f528d99335506a37f7466193e9ed8b4e,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V16,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,16,score = 206,score = 206,,"[""eq"",""score"",206,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,39a84ae941094e9a197edc1630498eefe0c680acafcd05b9d51180155c01d33f,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V17,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,17,score = 219,score = 219,,"[""eq"",""score"",219,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,0cb2d394fde3305d32f406ec4bc7e17fdc505ee685b32c53ff67f0e5fa6d6469,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V18,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,18,score = 232,score = 232,,"[""eq"",""score"",232,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,1c141cfb59412ed2f84fbecd59f9fd895fd8d72d65d0d7601768af0d4e8f4e1f,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V19,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,19,score = 245,score = 245,,"[""eq"",""score"",245,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,b0d843366b62a1fdfc0969fc0ca2871c65e6d3b6dc6d5be87182abe60b71f20e,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D01_R01_V20,A,Y1_Simple,D1,PostgreSQL,SQL,Y1_R01,AF_01,Y1_R01_D01,Y1_R01_D01_SLOTS,20,score = 258,score = 258,,"[""eq"",""score"",258,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,1296259302f0758a14c61c5efce5d14e0849227b8eaf7f4732630427ef9271b1,AF_01_D01_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D02_R01_V01,A,Y1_Simple,D1,MySQL,SQL,Y1_R01,AF_01,Y1_R01_D02,Y1_R01_D02_SLOTS,1,score = 712,score = 712,,"[""eq"",""score"",712,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,256395ad990cfe7adb7d813575562b320d8bc78e0bbce43bb92361a1d08f0a0a,AF_01_D02_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
A_Y1_D02_R01_V02,A,Y1_Simple,D1,MySQL,SQL,Y1_R01,AF_01,Y1_R01_D02,Y1_R01_D02_SLOTS,2,score = 725,score = 725,,"[""eq"",""score"",725,null]",num_eq,direct,documentation_informed_not_engine_validated,not_validated_attack,synthetic_documentation_informed,false,false,SOURCES_PER_DIALECT_AND_ABSTRACT,22d629bd26b7563eb5248b67f8802e658329e2f19b698608fe5dc63a6d0fe22a,AF_01_D02_R01,AF_01,SQL/SQL++ WHERE predicate fragment; none; DO_NOT_TREAT_AS_CONFIRMED_SQLi
