grammar_slots_id,structure_cell_id,slot_schema_json,binding_requirement,frozen_lineage
Y1_R01_D01_SLOTS,Y1_R01_D01,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D02_SLOTS,Y1_R01_D02,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D03_SLOTS,Y1_R01_D03,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D04_SLOTS,Y1_R01_D04,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D05_SLOTS,Y1_R01_D05,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D06_SLOTS,Y1_R01_D06,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D07_SLOTS,Y1_R01_D07,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D08_SLOTS,Y1_R01_D08,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D09_SLOTS,Y1_R01_D09,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D10_SLOTS,Y1_R01_D10,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D11_SLOTS,Y1_R01_D11,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D12_SLOTS,Y1_R01_D12,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D13_SLOTS,Y1_R01_D13,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D14_SLOTS,Y1_R01_D14,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D15_SLOTS,Y1_R01_D15,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
Y1_R01_D16_SLOTS,Y1_R01_D16,"{""index"":""20 per A cell or 15 per B cell"",""m"":""n+3"",""n"":""integer"",""score"":""integer"",""tag"":""safe_ascii_token""}",required for DynamoDB; all others are render-only,AF_01
