id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree,payload_norm,wrapper_detected,strip_depth,payload_delex_v2,signature,tier
1733,"1', ( case when 8260 = 8260 then 1 else null end )",benign,generic,0.9,Signals: 'case'. Payload length: 50 chars.,2,"1', ( case when 8260 = 8260 then 1 else null end )",False,0,"__INT__' , ( case when __INT__ = __INT__ then __INT__ else null end )",1b15bfab,gold
19323,"1, ( case when 6620 = 3092 then 1 else null end )",benign,generic,0.9,Signals: 'case'. Payload length: 49 chars.,2,"1, ( case when 6620 = 3092 then 1 else null end )",False,0,"__INT__ , ( case when __INT__ = __INT__ then __INT__ else null end )",de65af36,gold
31326,castellanos de zapardiel,benign,generic,0.9,Signals: 'cast'. Payload length: 24 chars.,2,castellanos de zapardiel,False,0,__IDENT__ __IDENT__ __IDENT__,44f1cfa0,gold
32376,castell-platja d'aro,benign,generic,0.9,Signals: 'cast'. Payload length: 20 chars.,2,castell-platja d'aro,False,0,__IDENT__-__IDENT__ __IDENT__'__IDENT__,a38fade7,gold
26005,"1', ( case when 2872 = 2872 then 1 else null end )",benign,generic,0.9,Signals: 'case'. Payload length: 50 chars.,2,"1', ( case when 2872 = 2872 then 1 else null end )",False,0,"__INT__' , ( case when __INT__ = __INT__ then __INT__ else null end )",1b15bfab,gold
1008,"1', ( case when 5204 = 2136 then 1 else null end )",benign,generic,0.9,Signals: 'case'. Payload length: 50 chars.,2,"1', ( case when 5204 = 2136 then 1 else null end )",False,0,"__INT__' , ( case when __INT__ = __INT__ then __INT__ else null end )",1b15bfab,gold
24371,"1', ( case when 3598 = 2118 then 1 else null end )",benign,generic,0.9,Signals: 'case'. Payload length: 50 chars.,2,"1', ( case when 3598 = 2118 then 1 else null end )",False,0,"__INT__' , ( case when __INT__ = __INT__ then __INT__ else null end )",1b15bfab,gold
29777,"calle castellet 94,",benign,generic,0.9,Signals: 'cast'. Payload length: 19 chars.,2,"calle castellet 94,",False,0,"__IDENT__ __IDENT__ __INT__ ,",1bd16edb,gold
30046,castelln de la plana/castell de la plana,benign,generic,0.9,Signals: 'cast'. Payload length: 40 chars.,2,castelln de la plana/castell de la plana,False,0,__IDENT__ __IDENT__ __IDENT__ __IDENT__ / __IDENT__ __IDENT__ __IDENT__ __IDENT__,5668568c,gold
30068,"calle de can castellvi 35, 10-h",benign,generic,0.9,Signals: 'cast'. Payload length: 31 chars.,2,"calle de can castellvi 35, 10-h",False,0,"__IDENT__ __IDENT__ __IDENT__ __IDENT__ __INT__ , __INT__-__IDENT__",393e98b2,gold
984,( case when 2646 = 8520 then 2646 else null end ),benign,generic,0.9,Signals: 'case'. Payload length: 49 chars.,2,( case when 2646 = 8520 then 2646 else null end ),False,0,( case when __INT__ = __INT__ then __INT__ else null end ),2acfda94,gold
26272,"pl. curro cuchares, 72,",benign,mssql,0.9,Signals: 'char'; DB: mssql. Payload length: 23 chars.,2,"pl. curro cuchares, 72,",False,0,"__IDENT__. __IDENT__ __IDENT__ , __INT__ ,",88c5565e,gold
