sample_id,module_id,parent_sample_id,parent_module_level,payload_before_transform,payload_raw,payload_canonical,validation_payload_v4,transform_recipe_id,roundtrip_valid,structure_preserved,semantic_preserved,semantic_preservation_basis
Y3_R001_C01_S01,Y3_encoded_boolean,Y1_R001_C01_S01,Y1_basic_boolean,32 = 32,32%20%3D%2032,32 = 32,32 = 32,T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C01_S02,Y3_encoded_boolean,Y2_R001_C01_S02,Y2_boolean_variation,45 = 45,45%20=%2045,45 = 45,45 = 45,T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C01_S03,Y3_encoded_boolean,Y1_R001_C01_S03,Y1_basic_boolean,58 = 58,58%20%3D%2058,58 = 58,58 = 58,T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C01_S04,Y3_encoded_boolean,Y1_R001_C01_S04,Y1_basic_boolean,71 = 88,71%20%3D%2088,71 = 88,71 = 88,T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C01_S05,Y3_encoded_boolean,Y2_R001_C01_S05,Y2_boolean_variation,84 = 4,84%20=%204,84 = 4,84 = 4,T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C01_S06,Y3_encoded_boolean,Y1_R001_C01_S06,Y1_basic_boolean,97 = 17,97%20%3D%2017,97 = 17,97 = 17,T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C02_S01,Y3_encoded_boolean,Y2_R001_C02_S01,Y2_boolean_variation,(43 = 43),%2843%20=%2043%29,(43 = 43),(43 = 43),T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C02_S02,Y3_encoded_boolean,Y1_R001_C02_S02,Y1_basic_boolean,(56 = 56),(56%20%3D%2056),(56 = 56),(56 = 56),T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C02_S03,Y3_encoded_boolean,Y1_R001_C02_S03,Y1_basic_boolean,(69 = 69),%2869%20%3D%2069%29,(69 = 69),(69 = 69),T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C02_S04,Y3_encoded_boolean,Y2_R001_C02_S04,Y2_boolean_variation,(82 = 2),%2882%20=%202%29,(82 = 2),(82 = 2),T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C02_S05,Y3_encoded_boolean,Y1_R001_C02_S05,Y1_basic_boolean,(95 = 15),(95%20%3D%2015),(95 = 15),(95 = 15),T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C02_S06,Y3_encoded_boolean,Y1_R001_C02_S06,Y1_basic_boolean,(11 = 28),%2811%20%3D%2028%29,(11 = 28),(11 = 28),T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C03_S01,Y3_encoded_boolean,Y1_R001_C03_S01,Y1_basic_boolean,NOT (54 = 71),NOT%20(54%20%3D%2071),NOT (54 = 71),NOT (54 = 71),T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C03_S02,Y3_encoded_boolean,Y1_R001_C03_S02,Y1_basic_boolean,NOT (67 = 84),NOT%20%2867%20%3D%2084%29,NOT (67 = 84),NOT (67 = 84),T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C03_S03,Y3_encoded_boolean,Y2_R001_C03_S03,Y2_boolean_variation,NOT (80 = 97),NOT%20%2880%20=%2097%29,NOT (80 = 97),NOT (80 = 97),T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C03_S04,Y3_encoded_boolean,Y1_R001_C03_S04,Y1_basic_boolean,NOT (93 = 93),NOT%20(93%20%3D%2093),NOT (93 = 93),NOT (93 = 93),T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C03_S05,Y3_encoded_boolean,Y1_R001_C03_S05,Y1_basic_boolean,NOT (9 = 9),NOT%20%289%20%3D%209%29,NOT (9 = 9),NOT (9 = 9),T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C03_S06,Y3_encoded_boolean,Y2_R001_C03_S06,Y2_boolean_variation,NOT (22 = 22),NOT%20%2822%20=%2022%29,NOT (22 = 22),NOT (22 = 22),T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C04_S01,Y3_encoded_boolean,Y1_R001_C04_S01,Y1_basic_boolean,(65 = 65) IS TRUE,%2865%20%3D%2065%29%20IS%20TRUE,(65 = 65) IS TRUE,(65 = 65) IS TRUE,T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C04_S02,Y3_encoded_boolean,Y2_R001_C04_S02,Y2_boolean_variation,(78 = 78) IS TRUE,%2878%20=%2078%29%20IS%20TRUE,(78 = 78) IS TRUE,(78 = 78) IS TRUE,T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C04_S03,Y3_encoded_boolean,Y1_R001_C04_S03,Y1_basic_boolean,(91 = 91) IS TRUE,(91%20%3D%2091)%20IS%20TRUE,(91 = 91) IS TRUE,(91 = 91) IS TRUE,T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C04_S04,Y3_encoded_boolean,Y1_R001_C04_S04,Y1_basic_boolean,(7 = 24) IS TRUE,%287%20%3D%2024%29%20IS%20TRUE,(7 = 24) IS TRUE,(7 = 24) IS TRUE,T_Y3_URL_FULL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C04_S05,Y3_encoded_boolean,Y2_R001_C04_S05,Y2_boolean_variation,(20 = 37) IS TRUE,%2820%20=%2037%29%20IS%20TRUE,(20 = 37) IS TRUE,(20 = 37) IS TRUE,T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C04_S06,Y3_encoded_boolean,Y1_R001_C04_S06,Y1_basic_boolean,(33 = 50) IS TRUE,(33%20%3D%2050)%20IS%20TRUE,(33 = 50) IS TRUE,(33 = 50) IS TRUE,T_Y3_OPERATOR_QUOTE_PERCENT,1,1,1,canonical_normalization_only_runtime_not_run
Y3_R001_C05_S01,Y3_encoded_boolean,Y2_R001_C05_S01,Y2_boolean_variation,(76 = 76) IS NOT FALSE,%2876%20=%2076%29%20IS%20NOT%20FALSE,(76 = 76) IS NOT FALSE,(76 = 76) IS NOT FALSE,T_Y3_URL_PARTIAL,1,1,1,canonical_normalization_only_runtime_not_run
