root_id,y_level,y_name,semantic_family,root_variant,root_grammar_description,syntax_template_postgresql,source_type,attack_intent,no_context_payload_only,engine_validated,exploit_confirmed
PG_BOOL_R001,Y1,Y1_Simple,comparison_numeric,1,Numeric comparison predicate,32 = 32,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R002,Y1,Y1_Simple,comparison_numeric,2,Numeric comparison predicate,39 <> 56,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R003,Y1,Y1_Simple,comparison_numeric,3,Numeric comparison predicate,63 > 46,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R004,Y1,Y1_Simple,comparison_numeric,4,Numeric comparison predicate,53 <= 70,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R005,Y1,Y1_Simple,comparison_numeric,5,Numeric comparison predicate,(60 + 94) = 154,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R006,Y1,Y1_Simple,comparison_text,1,Text equality/inequality predicate,'member7' = 'member7',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R007,Y1,Y1_Simple,comparison_text,2,Text equality/inequality predicate,'stone8' <> 'north0',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R008,Y1,Y1_Simple,comparison_text,3,Text equality/inequality predicate,lower('NORTH0') = 'north0',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R009,Y1,Y1_Simple,comparison_text,4,Text equality/inequality predicate,char_length('south1') = 6,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R010,Y1,Y1_Simple,comparison_text,5,Text equality/inequality predicate,position('ea' in 'east2') > 0,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R011,Y1,Y1_Simple,null_boolean,1,NULL and Boolean state predicate,NULL IS NULL,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R012,Y1,Y1_Simple,null_boolean,2,NULL and Boolean state predicate,TRUE IS TRUE,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R013,Y1,Y1_Simple,null_boolean,3,NULL and Boolean state predicate,FALSE IS FALSE,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R014,Y1,Y1_Simple,null_boolean,4,NULL and Boolean state predicate,"COALESCE(NULL, 26) = 26",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R015,Y1,Y1_Simple,null_boolean,5,NULL and Boolean state predicate,(33 = 33) IS TRUE,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R016,Y1,Y1_Simple,between_range,1,BETWEEN and NOT BETWEEN predicate,51 BETWEEN 40 AND 62,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R017,Y1,Y1_Simple,between_range,2,BETWEEN and NOT BETWEEN predicate,58 BETWEEN 47 AND 69,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R018,Y1,Y1_Simple,between_range,3,BETWEEN and NOT BETWEEN predicate,65 BETWEEN 54 AND 76,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R019,Y1,Y1_Simple,between_range,4,BETWEEN and NOT BETWEEN predicate,90 NOT BETWEEN 61 AND 83,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R020,Y1,Y1_Simple,between_range,5,BETWEEN and NOT BETWEEN predicate,(79) BETWEEN (68) AND (90),synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R021,Y1,Y1_Simple,membership_list,1,IN and NOT IN list predicate,"92 IN (75, 92, 12)",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R022,Y1,Y1_Simple,membership_list,2,IN and NOT IN list predicate,"2 IN (82, 2, 19)",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R023,Y1,Y1_Simple,membership_list,3,IN and NOT IN list predicate,"98 NOT IN (89, 9, 26)",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R024,Y1,Y1_Simple,membership_list,4,IN and NOT IN list predicate,"'pending7' IN ('pending7', 'member0')",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R025,Y1,Y1_Simple,membership_list,5,IN and NOT IN list predicate,"'member0' NOT IN ('public8', 'stone1')",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R026,Y1,Y1_Simple,any_all_array,1,ANY/ALL array comparison predicate,"13 = ANY(ARRAY[13, 30, 47])",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R027,Y1,Y1_Simple,any_all_array,2,ANY/ALL array comparison predicate,"59 <> ALL(ARRAY[20, 37, 54])",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R028,Y1,Y1_Simple,any_all_array,3,ANY/ALL array comparison predicate,"66 > ALL(ARRAY[27, 44, 61])",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R029,Y1,Y1_Simple,any_all_array,4,ANY/ALL array comparison predicate,"33 < ALL(ARRAY[34, 51, 68])",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R030,Y1,Y1_Simple,any_all_array,5,ANY/ALL array comparison predicate,"58 <= ANY(ARRAY[41, 58, 75])",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R031,Y1,Y1_Simple,like_ilike,1,LIKE/ILIKE pattern predicate,'west5' LIKE 'we%',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
