structure_cell_id,root_id,y_level,semantic_family,cell_index,cell_recipe,expected_samples,required_tokens,skeleton_reference,structure_signature,cell_contract
PG_BOOL_R001_C01,PG_BOOL_R001,Y1,comparison_numeric,1,base_predicate,6,=,INT = INT,e1940b84d0c078fe0c702393,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C02,PG_BOOL_R001,Y1,comparison_numeric,2,parenthesized_predicate,6,=,(INT = INT),e62aeb1f44addd5ddb04a544,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C03,PG_BOOL_R001,Y1,comparison_numeric,3,negated_inverse_predicate,6,=|NOT,NOT (INT = INT),7748d0fc3895108e6c8360d5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C04,PG_BOOL_R001,Y1,comparison_numeric,4,is_true_wrapper,6,=|IS|TRUE,(INT = INT) IS TRUE,cd66f7c5508e7cbe01b98c58,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C05,PG_BOOL_R001,Y1,comparison_numeric,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(INT = INT) IS NOT FALSE,aee19333e98664341eedc149,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C06,PG_BOOL_R001,Y1,comparison_numeric,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,940d857070805c2a479fed62,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C07,PG_BOOL_R001,Y1,comparison_numeric,7,and_true_guard,6,=|AND,(INT = INT) AND (INT = INT),992ea1dcc1c1d4b5af3ccb10,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C08,PG_BOOL_R001,Y1,comparison_numeric,8,or_false_guard,6,<|<>|=|>|OR,(INT = INT) OR (INT <> INT),9b3754c90b04c13b7a9383c6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C09,PG_BOOL_R001,Y1,comparison_numeric,9,equals_true_wrapper,6,=|TRUE,((INT = INT) = TRUE),8264287706d8a3a35be8165e,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R001_C10,PG_BOOL_R001,Y1,comparison_numeric,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((INT = INT), FALSE)",cd4dcde04e91128963995e04,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C01,PG_BOOL_R002,Y1,comparison_numeric,1,base_predicate,6,<|<>|>,INT <> INT,ca12aa903ecf1f98d69d12f5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C02,PG_BOOL_R002,Y1,comparison_numeric,2,parenthesized_predicate,6,<|<>|>,(INT <> INT),af2538bd9a97a23074d94cd3,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C03,PG_BOOL_R002,Y1,comparison_numeric,3,negated_inverse_predicate,6,<|<>|>|NOT,NOT (INT <> INT),fbe93d7b603d46acca49eb75,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C04,PG_BOOL_R002,Y1,comparison_numeric,4,is_true_wrapper,6,<|<>|>|IS|TRUE,(INT <> INT) IS TRUE,834018fe8e1203991713828d,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
