sample_id,text,payload_raw,prefix,ruleset_id,root_id,structure_cell_id,module_id,y_level,semantic_family,ruleset_family,skeleton_reference,required_tokens,slot_schema_id,source_split,source_view,raw_payload_hash,postgres_runtime_valid,semantic_behavior_valid,usable_for_mle,usable_for_reward_positive,training_role,minimal_seed_reason,schema_version
Y2_R001_C01_S01,<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> 32 = 32,32 = 32,<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y2_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y2_boolean_variation,Y2,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y2_R001_C01,dev,accepted_static_v4_1,sha256:8f0e864aff96b4e9ea1aef9e342395e0429e7ba6d5db1bebc996d4649edc9852,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y2_R001_C01_S02,<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> ( 45 = 45 ),( 45 = 45 ),<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y2_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y2_boolean_variation,Y2,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y2_R001_C01,train,accepted_static_v4_1,sha256:a56fe3345cfda76a987fdbe74832f0663db90ba046045455c7a26454cd1fed3d,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y2_R001_C01_S03,<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> 58 = 58,58 = 58,<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y2_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y2_boolean_variation,Y2,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y2_R001_C01,train,accepted_static_v4_1,sha256:5cf7edf26dfdd11bbc778a4002658c39f94138f20c24ef85e96017031f5d598f,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y2_R001_C01_S04,<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> ( 71 = 88 ),( 71 = 88 ),<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y2_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y2_boolean_variation,Y2,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y2_R001_C01,train,accepted_static_v4_1,sha256:ede38a4de8f677caa7ad5188554553d25ae9c0af07f9eb2297b2c065a8f404a0,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y2_R001_C01_S05,<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> 84 = 4,84 = 4,<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y2_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y2_boolean_variation,Y2,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y2_R001_C01,train,accepted_static_v4_1,sha256:000dfa1dafebd88cf7aad9eba69991e33f4236981ee3249773953b335d0be200,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y2_R001_C01_S06,<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric> ( 97 = 17 ),( 97 = 17 ),<RULE=RS_Y2_R001_C01><CELL=PG_BOOL_R001_C01><FAMILY=comparison_numeric>,RS_Y2_R001_C01,PG_BOOL_R001,PG_BOOL_R001_C01,Y2_boolean_variation,Y2,comparison_numeric,comparison_numeric,INT = INT,=,SLOT_Y2_R001_C01,train,accepted_static_v4_1,sha256:102e9dd75b11eb5414463ba478d4f40270e2f4640089b90827aac35854515202,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y2_R001_C02_S01,<RULE=RS_Y2_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric> ( (43 = 43) ),( (43 = 43) ),<RULE=RS_Y2_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric>,RS_Y2_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y2_boolean_variation,Y2,comparison_numeric,comparison_numeric,(INT = INT),=,SLOT_Y2_R001_C02,train,accepted_static_v4_1,sha256:0e8421b042a9221a17c48b237e45b0a9a2c8a8787ddcd6b17a8e693c6e812e91,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y2_R001_C02_S02,<RULE=RS_Y2_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric> (56 = 56),(56 = 56),<RULE=RS_Y2_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric>,RS_Y2_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y2_boolean_variation,Y2,comparison_numeric,comparison_numeric,(INT = INT),=,SLOT_Y2_R001_C02,dev,accepted_static_v4_1,sha256:99cd41ffefffe6bd8ac7a55a0e233dffeb0e2671eb1e38cababd5c6ac312e6ae,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y2_R001_C02_S03,<RULE=RS_Y2_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric> ( (69 = 69) ),( (69 = 69) ),<RULE=RS_Y2_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric>,RS_Y2_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y2_boolean_variation,Y2,comparison_numeric,comparison_numeric,(INT = INT),=,SLOT_Y2_R001_C02,train,accepted_static_v4_1,sha256:5e456f847e8d1ad2a312deea96878ba903a8a9874b8aa714bec36a6082aa19da,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y2_R001_C02_S04,<RULE=RS_Y2_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric> (82 = 2),(82 = 2),<RULE=RS_Y2_R001_C02><CELL=PG_BOOL_R001_C02><FAMILY=comparison_numeric>,RS_Y2_R001_C02,PG_BOOL_R001,PG_BOOL_R001_C02,Y2_boolean_variation,Y2,comparison_numeric,comparison_numeric,(INT = INT),=,SLOT_Y2_R001_C02,train,accepted_static_v4_1,sha256:07f86f2bbc7bc243621d98b9826df0c83e0460c9f504639c484c9e0bede1648c,not_run,not_run,True,True,accepted_static_positive,,v5.1
