sample_id,text,payload_raw,prefix,ruleset_id,root_id,structure_cell_id,module_id,y_level,semantic_family,ruleset_family,skeleton_reference,required_tokens,slot_schema_id,source_split,source_view,raw_payload_hash,postgres_runtime_valid,semantic_behavior_valid,usable_for_mle,usable_for_reward_positive,training_role,minimal_seed_reason,schema_version
SEED_RS_Y2_R031_C01_MIN001,<RULE=RS_Y2_R031_C01><CELL=PG_BOOL_R031_C01><FAMILY=like_ilike> 'alpha' LIKE 'beta','alpha' LIKE 'beta',<RULE=RS_Y2_R031_C01><CELL=PG_BOOL_R031_C01><FAMILY=like_ilike>,RS_Y2_R031_C01,PG_BOOL_R031,PG_BOOL_R031_C01,Y2_boolean_variation,Y2,like_ilike,like_ilike,STR LIKE STR,LIKE,SLOT_Y2_R031_C01,train,ruleset_seed_minimal,sha256:b36c8af434c83a320ecfffa39074a81496007f0bfb1653c0a801299d0c029acc,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R031_C02_MIN001,<RULE=RS_Y2_R031_C02><CELL=PG_BOOL_R031_C02><FAMILY=like_ilike> ('alpha' LIKE 'beta'),('alpha' LIKE 'beta'),<RULE=RS_Y2_R031_C02><CELL=PG_BOOL_R031_C02><FAMILY=like_ilike>,RS_Y2_R031_C02,PG_BOOL_R031,PG_BOOL_R031_C02,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR LIKE STR),LIKE,SLOT_Y2_R031_C02,train,ruleset_seed_minimal,sha256:80aa6b655e9fad0af3d8bc04f4488017cf9e7b833cb9ccc19d369373a0ec10df,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R031_C03_MIN001,<RULE=RS_Y2_R031_C03><CELL=PG_BOOL_R031_C03><FAMILY=like_ilike> NOT ('alpha' LIKE 'beta'),NOT ('alpha' LIKE 'beta'),<RULE=RS_Y2_R031_C03><CELL=PG_BOOL_R031_C03><FAMILY=like_ilike>,RS_Y2_R031_C03,PG_BOOL_R031,PG_BOOL_R031_C03,Y2_boolean_variation,Y2,like_ilike,like_ilike,NOT (STR LIKE STR),LIKE|NOT,SLOT_Y2_R031_C03,train,ruleset_seed_minimal,sha256:b2ee227d2cb20652348f854e226edb2185c0030f68d80f16b6876219f5292988,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R031_C04_MIN001,<RULE=RS_Y2_R031_C04><CELL=PG_BOOL_R031_C04><FAMILY=like_ilike> ('alpha' LIKE 'beta') IS TRUE,('alpha' LIKE 'beta') IS TRUE,<RULE=RS_Y2_R031_C04><CELL=PG_BOOL_R031_C04><FAMILY=like_ilike>,RS_Y2_R031_C04,PG_BOOL_R031,PG_BOOL_R031_C04,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR LIKE STR) IS TRUE,IS|LIKE|TRUE,SLOT_Y2_R031_C04,train,ruleset_seed_minimal,sha256:8159fac9a39a01d05f2cdbb9c1723836bf1cdc1af6635e4a169a06b486a56fd2,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R031_C05_MIN001,<RULE=RS_Y2_R031_C05><CELL=PG_BOOL_R031_C05><FAMILY=like_ilike> ('alpha' LIKE 'beta') IS NOT FALSE,('alpha' LIKE 'beta') IS NOT FALSE,<RULE=RS_Y2_R031_C05><CELL=PG_BOOL_R031_C05><FAMILY=like_ilike>,RS_Y2_R031_C05,PG_BOOL_R031,PG_BOOL_R031_C05,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR LIKE STR) IS NOT FALSE,FALSE|IS|LIKE|NOT,SLOT_Y2_R031_C05,train,ruleset_seed_minimal,sha256:a15f6c36c1266c04c8697714fa46c6be36ed3767388ef99aaedfbe317b455198,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R031_C06_MIN001,<RULE=RS_Y2_R031_C06><CELL=PG_BOOL_R031_C06><FAMILY=like_ilike> CASE WHEN ('alpha' LIKE 'beta') THEN TRUE ELSE FALSE END,CASE WHEN ('alpha' LIKE 'beta') THEN TRUE ELSE FALSE END,<RULE=RS_Y2_R031_C06><CELL=PG_BOOL_R031_C06><FAMILY=like_ilike>,RS_Y2_R031_C06,PG_BOOL_R031,PG_BOOL_R031_C06,Y2_boolean_variation,Y2,like_ilike,like_ilike,CASE WHEN (STR LIKE STR) THEN TRUE ELSE FALSE END,CASE|ELSE|END|FALSE|LIKE|THEN|TRUE|WHEN,SLOT_Y2_R031_C06,train,ruleset_seed_minimal,sha256:e3c09c6c04e8a6bb00688b7aeadbf795d62fb81ea510230663156cf1f30113e7,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R031_C07_MIN001,<RULE=RS_Y2_R031_C07><CELL=PG_BOOL_R031_C07><FAMILY=like_ilike> ('alpha' LIKE 'beta') AND (4 = 48),('alpha' LIKE 'beta') AND (4 = 48),<RULE=RS_Y2_R031_C07><CELL=PG_BOOL_R031_C07><FAMILY=like_ilike>,RS_Y2_R031_C07,PG_BOOL_R031,PG_BOOL_R031_C07,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR LIKE STR) AND (INT = INT),=|AND|LIKE,SLOT_Y2_R031_C07,train,ruleset_seed_minimal,sha256:9ffc4e402bea9499fa7e391b672d86286767e49c1c1311b11796e8eea71c4567,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R031_C08_MIN001,<RULE=RS_Y2_R031_C08><CELL=PG_BOOL_R031_C08><FAMILY=like_ilike> ('alpha' LIKE 'beta') OR (2 <> 26),('alpha' LIKE 'beta') OR (2 <> 26),<RULE=RS_Y2_R031_C08><CELL=PG_BOOL_R031_C08><FAMILY=like_ilike>,RS_Y2_R031_C08,PG_BOOL_R031,PG_BOOL_R031_C08,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR LIKE STR) OR (INT <> INT),<|<>|>|LIKE|OR,SLOT_Y2_R031_C08,train,ruleset_seed_minimal,sha256:f6a170ae9300aab82de7560d34b29a97e2bfeae1614bad919e2b93528e865d72,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R031_C09_MIN001,<RULE=RS_Y2_R031_C09><CELL=PG_BOOL_R031_C09><FAMILY=like_ilike> (('alpha' LIKE 'beta') = TRUE),(('alpha' LIKE 'beta') = TRUE),<RULE=RS_Y2_R031_C09><CELL=PG_BOOL_R031_C09><FAMILY=like_ilike>,RS_Y2_R031_C09,PG_BOOL_R031,PG_BOOL_R031_C09,Y2_boolean_variation,Y2,like_ilike,like_ilike,((STR LIKE STR) = TRUE),=|LIKE|TRUE,SLOT_Y2_R031_C09,train,ruleset_seed_minimal,sha256:1826a91629f7cf9f227b870b8d40298ccc917e25f363494a249c3cee05bac29c,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R031_C10_MIN001,"<RULE=RS_Y2_R031_C10><CELL=PG_BOOL_R031_C10><FAMILY=like_ilike> COALESCE(('alpha' LIKE 'beta'), FALSE)","COALESCE(('alpha' LIKE 'beta'), FALSE)",<RULE=RS_Y2_R031_C10><CELL=PG_BOOL_R031_C10><FAMILY=like_ilike>,RS_Y2_R031_C10,PG_BOOL_R031,PG_BOOL_R031_C10,Y2_boolean_variation,Y2,like_ilike,like_ilike,"COALESCE((STR LIKE STR), FALSE)",COALESCE|FALSE|LIKE,SLOT_Y2_R031_C10,train,ruleset_seed_minimal,sha256:182f11b9a20d7a7e964e74b10aac1877fa099b06b253307b7b27d688e4308ec6,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
