row_index,sqli_type,db_engine,confidence,reasoning
11850,benign,generic,0.9,not_sql_injection
11851,benign,generic,0.9,not_sql_injection
11852,benign,generic,0.9,not_sql_injection
11853,benign,generic,0.9,not_sql_injection
11854,benign,generic,0.9,not_sql_injection
11855,benign,generic,0.9,not_sql_injection
11856,benign,generic,0.9,not_sql_injection
11857,benign,generic,0.9,not_sql_injection
11858,benign,generic,0.9,not_sql_injection
11859,benign,generic,0.9,not_sql_injection
11860,benign,generic,0.9,not_sql_injection
11861,benign,generic,0.9,not_sql_injection
11862,benign,generic,0.9,not_sql_injection
11863,benign,generic,0.9,not_sql_injection
11864,benign,generic,0.9,not_sql_injection
11865,benign,generic,0.9,not_sql_injection
11866,benign,generic,0.9,not_sql_injection
11867,benign,generic,0.9,not_sql_injection
11868,benign,generic,0.9,not_sql_injection
11869,benign,generic,0.9,not_sql_injection
11870,benign,generic,0.9,not_sql_injection
11871,benign,generic,0.9,not_sql_injection
11872,benign,generic,0.9,not_sql_injection
11873,benign,generic,0.9,not_sql_injection
11874,benign,generic,0.9,not_sql_injection
11875,benign,generic,0.9,not_sql_injection
11876,benign,generic,0.9,not_sql_injection
11877,benign,generic,0.9,not_sql_injection
11878,benign,generic,0.9,not_sql_injection
11879,benign,generic,0.9,not_sql_injection
