row_index,sqli_type,db_engine,confidence,reasoning
20850,benign,generic,1.00,"SELECT with NOT LIKE pattern - normal SQL query"
20851,benign,generic,1.00,"SELECT with IN clause - normal SQL query"
20852,benign,generic,1.00,"SELECT with NOT IN clause - normal SQL query"
20853,benign,generic,1.00,"SELECT with IN subquery - normal SQL query"
20854,benign,generic,1.00,"SELECT with BETWEEN numeric - normal SQL query"
20855,benign,generic,1.00,"SELECT with NOT BETWEEN - normal SQL query"
20856,benign,generic,1.00,"SELECT with BETWEEN string - normal SQL query"
20857,benign,generic,1.00,"SELECT with BETWEEN string - normal SQL query"
20858,benign,generic,1.00,"SELECT with NOT BETWEEN - normal SQL query"
20859,benign,generic,1.00,"SELECT with BETWEEN date - normal SQL query"
20860,benign,generic,1.00,"SELECT with BETWEEN date - normal SQL query"
20861,benign,generic,1.00,"SELECT AVG and SUM - normal SQL aggregate"
20862,benign,generic,1.00,"SELECT COUNT - normal SQL aggregate function"
20863,benign,generic,1.00,"SELECT COUNT - normal SQL aggregate function"
20864,benign,generic,1.00,"SELECT AVG - normal SQL aggregate function"
20865,benign,generic,1.00,"SELECT with BETWEEN date - normal SQL query"
20866,benign,generic,1.00,"SELECT with AS alias - normal SQL query"
20867,benign,generic,1.00,"SELECT with AS alias - normal SQL query"
20868,benign,generic,1.00,"SELECT with AS alias - normal SQL query"
20869,benign,mssql,1.00,"SELECT string concat + is MSSQL - normal query"
20870,benign,generic,1.00,"SELECT function with INNER JOIN - normal SQL"
20871,benign,generic,1.00,"SELECT with multiple INNER JOINs - normal SQL"
20872,benign,generic,1.00,"SELECT function with LEFT JOIN - normal SQL"
20873,benign,generic,1.00,"SELECT with LEFT JOIN - normal SQL query"
20874,benign,generic,1.00,"SELECT function with RIGHT JOIN - normal SQL"
20875,benign,mssql,1.00,"SELECT with RIGHT JOIN - MSSQL - normal query"
20876,benign,generic,1.00,"SELECT function FULL OUTER JOIN - normal SQL"
20877,benign,generic,1.00,"SELECT function from multiple tables - normal SQL"
20878,benign,generic,1.00,"SELECT function with UNION - normal SQL query"
20879,benign,generic,1.00,"SELECT functions - normal SQL query"
