row_index,sqli_type,db_engine,confidence,reasoning
9690,time_blind,mysql,0.7,sleep_subquery
9691,time_blind,mysql,0.7,rlike_sleep
9692,error_based,mysql,0.9,extractvalue
9693,boolean_based,generic,0.5,where_equality
9694,time_blind,postgresql,0.7,regexp_substring
9695,union_based,generic,0.7,union_null
9696,boolean_based,generic,0.5,where_equality
9697,error_based,oracle,0.9,xmltype_error
9698,boolean_based,mysql,0.7,make_set
9699,union_based,generic,0.7,union_select
9700,boolean_based,mssql,0.7,iif_boolean
9701,boolean_based,mysql,0.5,group_concat
9702,heavy_query,oracle,0.7,oracle_sysjoin
9703,boolean_based,generic,0.5,or_equality
9704,time_blind,mysql,0.7,sleep_subquery
9705,out_of_band,oracle,0.9,utl_inaddr
9706,heavy_query,firebird,0.7,firebird_sysjoin
9707,heavy_query,firebird,0.7,firebird_sysjoin
9708,union_based,generic,0.7,union_null
9709,error_based,mysql,0.9,exp_extract
9710,out_of_band,oracle,0.9,dbms_utility
9711,union_based,generic,0.7,union_null
9712,heavy_query,firebird,0.7,firebird_sysjoin
9713,time_blind,postgresql,0.7,generate_series
9714,boolean_based,generic,0.5,or_equality
9715,boolean_based,generic,0.5,where_equality
9716,union_based,generic,0.7,union_null
9717,boolean_based,generic,0.5,where_equality
9718,time_blind,postgresql,0.9,pg_sleep
9719,time_blind,postgresql,0.9,pg_sleep
