row_index,sqli_type,db_engine,confidence,reasoning
7800,heavy_query,mssql,0.7,mssql_sysjoin
7801,time_blind,postgresql,0.7,regexp_substring
7802,boolean_based,generic,0.5,where_equality
7803,error_based,mysql,0.9,updatexml
7804,time_blind,oracle,0.9,dbms_pipe
7805,heavy_query,db2,0.7,db2_sysjoin
7806,union_based,generic,0.7,union_null
7807,error_based,mysql,0.9,updatexml
7808,union_based,generic,0.7,union_select
7809,time_blind,mysql,0.9,benchmark
7810,boolean_based,generic,0.5,where_equality
7811,error_based,mysql,0.9,updatexml
7812,heavy_query,firebird,0.7,firebird_sysjoin
7813,error_based,mysql,0.9,updatexml
7814,error_based,mssql,0.9,convert_char
7815,boolean_based,generic,0.5,or_equality
7816,out_of_band,oracle,0.9,xmltype_error
7817,time_blind,mysql,0.9,benchmark
7818,time_blind,postgresql,0.7,regexp_substring
7819,boolean_based,mssql,0.7,iif_boolean
7820,time_blind,mysql,0.9,benchmark
7821,time_blind,mysql,0.7,extractvalue
7822,out_of_band,oracle,0.9,xmltype_error
7823,heavy_query,oracle,0.7,oracle_sysjoin
7824,boolean_based,mysql,0.7,make_set
7825,time_blind,mysql,0.7,elt_sleep
7826,boolean_based,generic,0.5,where_equality
7827,time_blind,mysql,0.7,sleep_subquery
7828,boolean_based,generic,0.5,end_and
7829,boolean_based,generic,0.5,order_by
