row_index,sqli_type,db_engine,confidence,reasoning
25260,benign,generic,1.0,Normal SELECT with subquery
25261,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH
25262,benign,generic,1.0,Malformed SELECT with multiple SELECT statements
25263,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH
25264,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH
25265,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH
25266,benign,generic,1.0,Malformed SELECT with multiple SELECT statements
25267,benign,generic,1.0,Normal SELECT with LIMIT and WHERE
25268,benign,generic,1.0,Normal SELECT with FETCH FIRST and WHERE
25269,benign,generic,1.0,Normal SELECT with AVG aggregate
25270,benign,generic,1.0,Normal SELECT with NOT LIKE pattern
25271,benign,generic,1.0,Normal SELECT with AVG and SUM aggregate
25272,benign,generic,1.0,Normal SELECT with AVG and SUM aggregate
25273,benign,generic,1.0,Normal SELECT with AVG and SUM aggregate
25274,benign,generic,1.0,Normal SELECT with COUNT aggregate
25275,benign,generic,1.0,Normal SELECT with COUNT aggregate
25276,benign,generic,1.0,Normal SELECT with AVG aggregate
25277,benign,generic,1.0,Normal SELECT with NOT LIKE pattern
25278,benign,generic,1.0,Normal SELECT with LIKE wildcard
25279,benign,generic,1.0,Normal SELECT with NOT LIKE pattern
25280,benign,generic,1.0,Normal SELECT with IN clause
25281,benign,generic,1.0,Normal SELECT with NOT IN
25282,benign,generic,1.0,Normal SELECT with IN subquery
25283,benign,generic,1.0,Normal SELECT with BETWEEN
25284,benign,generic,1.0,Normal SELECT with NOT BETWEEN
25285,benign,generic,1.0,Normal SELECT with BETWEEN string
25286,benign,generic,1.0,Normal SELECT with BETWEEN string
25287,benign,generic,1.0,Normal SELECT with NOT BETWEEN
25288,benign,generic,1.0,Malformed date range in BETWEEN
25289,benign,generic,1.0,Normal SELECT with BETWEEN date
